Title,Format,GamePub,Distributor,ReleaseYear
Alan Wake,TV Series,Remedy Entertainment,AMC,
Arcane: League of Legends (S2),TV Series,Riot Games,Netflix,
ARK: The Animated Series,TV Series,Studio Wildcard,(Distributor TBD),
Assassin’s Creed,TV Series,Ubisoft,Netflix,
Bioshock,Film,2K Games,Netflix,
Borderlands,Film,2K Games,Lionsgate,2023
Captain Laserhawk: A Blood Dragon Remix,TV Series,Ubisoft,Netflix,
Castlevania Nocturne,TV Series,Nintendo,Netflix,
Comix Zone,Film,Sega,(Distributor TBD),
Days Gone,Film,Sony,Sony,
Death Stranding,Film,Sony,(Distributor TBD),
Disco Elysium,Film,ZA/UM,Amazon Studios,
Dragon’s Lair,Film,Digital Leisure,Netflix,
Driver,TV Series,GT Interactive,Binge,
Duke Nukem,Film,3D Realms,Warner Bros.,
Fallout,TV Series,Bethesda Softworks,Amazon Studios,2023
Firewatch,Film,Campo Santo,(Distributor TBD),
Five Nights at Freddy’s,Film,ScottGames,(Distributor TBD),
Gears of War,Film,Xbox Game Studios,Netflix,
Ghost of Tsushima,Film,Sony,Sony,
God of War,TV Series,Sony,Amazon Studios,
Gran Turismo,Film,Sony,Sony,2023
Grounded,TV Series,Xbox Game Studios,(Distributor TBD),
Halo Season 2,TV Series,Xbox Game Studios,Paramount+,
Horizon,TV Series,Sony,Netflix,
Hunt: Showdown,TV Series,Crytek,Binge,
It Takes Two,TV Series,Electronic Arts,Amazon Studios,
Just Cause,Film,Square Enix,(Distributor TBD),
Just Dance,Film,Nintendo,Sony,
Knuckles the Echidna,TV Series,Sega,Paramount+,2023
Life is Strange,TV Series,Square Enix,Amazon Studios,
Mega Man,Film,Capcom,Netflix,
Metal Gear Solid,Film,Konami,Sony,
Metro 2033,Film,THQ,(Distributor TBD),
Minecraft,Film,Mojang Studios,Warner Bros.,
Mortal Kombat 2,Film,Midway Games,Warner Bros.,
The Mortuary Assistant,Film,DreadXP,(Distributor TBD),
Nier Automata,TV Series,Square Enix,(Distributor TBD),
Pac-Man,Film,Namco,(Distributor TBD),
PlayerUnknown’s Battlegrounds,TV Series,Krafton,(Distributor TBD),
Pokémon,TV Series,Nintendo,Netflix,
Portal,Film,Valve,Warner Bros.,
Return to Silent Hill,Film,Konami,(Distributor TBD),
Saints Row,Film,THQ,(Distributor TBD),
Sifu,Film,Sloclap,(Distributor TBD),
Sleeping Dogs,Film,Square Enix,(Distributor TBD),
Sonic the Hedgehog 3,Film,Sega,Parmount,2024
Space Channel 5,Film,Sega,(Distributor TBD),
Space Invaders,Film,Atari,Warner Bros.,
Splinter Cell,TV Series,Ubisoft,Netflix,
Streets of Rage,Film,Sega,Lionsgate,
The Super Mario Bros. Movie,Film,Nintendo,Universal,2023
System Shock,TV Series,Electronic Arts,(Distributor TBD),
Tetris,Film,Nintendo,Apple TV+,2023
The Last of Us,TV Series,Sony,HBO Max,
Tomb Raider,TV Series,Square Enix,Netflix,
Twisted Metal,TV Series,Sony,Peacock,
Yakuza,Film,Sega,(Distributor TBD),